name,lastrevid
Ammar Qambar,1086832849
Isa Qassim,1100527312
Ahmed Al-Salloum,1108146191
Salman bin Hamad Al Khalifa,1109869774
Oli Ahad,1076894174
Farid Ahmed,1066581020
Muzaffar Ahmed (NAP politician),1109740890
AKM Hafizuddin,1082571647
Mohammad Manjur Alam,1099697606
Aftab Ali,1111168357
M Hossain Ali,1081670946
Ashab Uddin Ahmad,1106492750
Selina Banu,1059919387
Nurul Huq Bhuiyan,1087353972
Bishnu Chattopadhyay,1108066856
AKM Fazlul Kabir Chowdhury,1115026757
Aminul Islam Chowdhury,1068738297
Anwarul Karim Chowdhury,1097570502
Moinuddin Ahmed Chowdhury,1038606051
Sarwar Jan Chowdhury,1052088875
Shahinur Pasha Chowdhury,1102455717
Yusuf Ali Chowdhury,1098197979
Haji Mohammad Danesh,1090578062
Pulin De,1038607348
James Leo Ferguson,1098196717
Abdul Halim Ghaznavi,1112056773
Debendra Nath Ghosh,1110092316
Ranesh Das Gupta,1038609480
AKM Fazlul Haque (Bangladeshi politician),1069141674
Abul Hashim,1067903741
Syed Najmuddin Hashim,1076061150
M. Anwar Hossain,1049654323
Nozir Hossain,1085128926
Syed Muhammad Ibrahim,1113135652
Abul Kashem,1094440759
Abul Kashem Khan,1097883330
Hatem Ali Khan,1085849741
Muhammad Hamidullah Khan,1112460308
Yar Mohammad Khan,1113198175
Jyotirindra Bodhipriya Larma,1106007965
Manik Lal Ray,1110874529
Mushrefa Mishu,1066093324
Fazlul Haque Montu,1107037359
Mujahidul Islam Selim,1111837585
SM Nuruzzaman,1068356533
Shamsul Huda Panchbagi,1100820734
Muhammad Bayazeed Khan Panni,1112344051
Ferdous Ahmed Qureshi,1104814058
Abdur Rahim (scholar),1112109734
Habibar Rahman,1045893159
M. M. Rahmatullah,1107693597
Golam Maula Rony,1113507548
Devasish Roy,1112033318
Maulana Shakhawat,1067136662
Zahidunnabi Dewan Shamim,1093749046
Abul Kalam Shamsuddin,1038585660
Badruddoza Ahmed Shuja,1047850212
Mohammad Sultan,1038605974
Mohammad Toaha,1046006361
Badruddin Umar,1111762930
Elliott Belgrave,1110292983
Chad Blackman,1113735930
Santia Bradshaw,1097963495
Sonia Browne,1080633319
Michael A. Carrington,1090468579
William Fondleroy Duguid,1086556181
Reginald Farley,1090706976
Adrian Forde,1079840895
Cynthia Y. Forde,1106579042
Ian Gooding-Edghill,1079872008
Damien K. A. Griffith,996491794
Crystal Haynes,1080792345
Hallam Henry (diplomat),1096826466
Philip St. Hill,1096731562
Arthur Holder,1090469580
Kirk Matthew Humphrey,1079886049
Davidson Ishmael,1079844213
Colin Everett Jordan,1090593974
John Andrew King,1079487466
Shantal Munro-Knight,1080773405
Glyne Murray,1096216109
Harry Scott Newlands,1083147482
Charles Duncan O'Neal,1091354442
Samuel Jackman Prescod,1113474645
Shanika Roberts-Odle,1080816111
Ryan Straughan,1081912624
Dwight Sutherland,1078282094
Kerrie Symmonds,1109983886
Yury Ambrazevich,1094141913
Lyavon Barshchewski,975080643
Siarhei Cherachen,1070934154
Zmitser Dashkevich,1092550681
Siamion Domash,1108538378
Tsimafei Dranchuk,1115164729
Alaksandar Dubko,1049964918
Alana Gebremariam,1114832548
Gennady Grushevoy,1094982832
Moshe Gutman,1058221840
Uładzimir Hančaryk,1105545058
Tamaš Hryb,1089370903
Anatoĺ Kalinin,1095765737
Uładzisłau Kazłouski,1082906416
Pavel Pavlovich Kozlovsky,1059698953
Ivan Kubrakov,1110591101
Vladimir Kumets,1107370274
Vyacheslav Nikolayevich Kuznetsov,1059194181
Valery Levaneuski,1103967180
Pavel Liohki,1112377212
Uladzimir Mackievič,1073431420
Vladimir Parfenovich,1070648178
Jan Pazniak,1109961050
Aleksandr Potupa,1114686271
Pyotr Prakapovich,1105481408
Alexander Radkov,1091859585
Symon Rak-Michajłoŭski,1108740902
Vladimir Vasilievich Rusakevich,1100971465
Ihar Rynkevich,1064451133
Aliaksandr Shakutsin,1107954358
Nikolai Shelyagovich,1092527212
Jan Stankievič,1115330170
Mikola Statkevich,1105528576
Sergei Tikhanovsky,1115451955
Alaksandar Ćvikievič,1113785358
Aleksandr Turchin,1086196169
Franak Viačorka,1110821628
Yury Voskresensky,1091719034
Ivan Yermachenka,1074131733
Manuel Abramowicz,1063238122
Rudy Aernoudt,1104528529
Herman Baltia,1088797136
Jan Béghin,1094288301
Frank Beke,1076417124
Gustave Boël,998374140
Pol Clovis Boël,1044839682
Antoine Brun,1105888595
Fernand Cocq,1059781125
Émile Coulonvaux,1058540019
Auguste Couvreur,1058540061
Nico Cué,1090780079
Pierre David (mayor),1055146012
August De Boodt,1061093766
Dirk De fauw,1054979701
René De Feyter,995806187
François-Philippe de Haussy,1087869295
Victor de Laveleye,1077689317
Édouard Descamps,1074405063
José Desmarets,1059402951
Émile van Dievoet,1109379888
Marc Drumaux,1054937431
Jos Dupré,1100264816
Françoise Dupuis,1067685663
Veerle Geerinckx,1048340504
Eugène Goblet d'Alviella,1114852816
Jean-Pierre Grafé,1112290249
Jacques Grippa,1034055053
Guy Hance,1058901086
Joris Helleputte,1051591828
Lucienne Herman-Michielsens,1073661185
Jules Hiernaux,1003320218
Julius Hoste Jr.,1080736243
Norbert Hougardy,1058901497
Joseph Houssa,1109576011
Vincent Houssiau,1036198503
Pierre Van Humbeeck,1058901725
Dorah Ilunga,1106195369
Pierre Imperiali,1058815544
Jean-François Istasse,1104147247
Milou Jeunehomme,1058898526
André Kempinaire,1058897535
Willy Kuijpers,1105018002
Rachid Madrane,1094043509
Luc Michel,1092518027
Fientje Moerman,1089220103
André Molitor,1089926878
Jean Pede,1034055187
Jean-Marie Piret,1102188001
André-Eugène Pirson,1087847916
"Philippe-Ambroise d'Olmen, Baron de Poederlé",1030396425
Marjet Van Puymbroeck,1090105907
Jean Richardot the Younger,1085858301
Gustave Rolin-Jaequemyns,1103791996
Hippolyte Rolin,1029822060
Father Samuel,1105406687
Louis-Joseph Seutin,1067673529
Alfons Siffer,1044386557
Cyrille Tahay,1099406349
Jacques Timmermans,1099978512
Robert Urbain,1073906467
Jacques Van Gompel,994051445
Marcel Van Langenhove (referee),1107440236
Johan Verbeke,1096587032
Lodewijk Verreycken,1104711170
Louis Waltniel,1058900581
Yves de Wasseige,1099711000
Jacques van Ypersele de Strihou,1101784212
Beverly Castillo,919973607
Elfreda Reyes,1036465539
Bert Tucker,1106473958
Michel Ahouanmènou,1082795168
Arnauld Antoine Akodjènou,1096094495
Jules-Armand Aniambossou,1083426767
Pascal Chabi Kao,1085346521
Francis Covi,1067482687
Joachim Dahissiho,1029448695
Adrien Degbey,1061050724
Luc Gnacadja,1105462246
Paul Hazoumé,1103078061
Louis Hunkanrin,1093387515
Louis Ignacio-Pinto,1092475356
Arouna Mama,1065903499
Moussa Okanla,1090050440
Assogba Oké,1086957528
Émile Poisson,1084137581
Maximilien Quenum-Possy-Berry,1043722585
Nicéphore Soglo,1095045396
Dorjee Wangmo,1060085965
Ugyen Dorji (DNT politician),1074573786
Zangley Dukpa,1068932528
Dupthob,986218104
Pema Gyamtsho,1110797584
Choki Gyeltshen,967051066
Sherub Gyeltshen,1069232338
Choida Jamtsho,1100668369
Rinzin Jamtsho,986219619
Kunzang C. Namgyel,1115406312
Shingkhar Lam,1065108391
Tshewang Lhamo,935053684
Kuenga Loday,967051092
Dorji Namgyal,1101249209
Jigme Namgyal (Bhutan),1112477163
Wangdi Norbu,1099185991
Kinga Penjor,1029727171
Yeshey Penjor,956623702
Thakur S. Powdyel,1113475126
Jai Bir Rai,1099839823
Karma Rangdol,1115618373
Loknath Sharma,1099839678
Tenzin (politician),1017464973
Sonam Tobgye,1088131266
Dorji Tshering,1023360934
Kinga Tshering,1111838853
Namgay Tshering,1062630670
Ugyen Tshering,1068931844
Jigme Wangchuk,1076705305
Lhatu Wangchuk,1077117615
Khandu Wangchuk,1082071070
Norbu Wangchuk,1105642733
Tshering Wangchuk,1098122862
Karma Donnen Wangdi,1013757910
Tshencho Wangdi,935053725
Ugyen Wangdi,1010522641
Dechen Wangmo (politician),1109945331
Dechen Zangmo,1095618727
Neten Zangmo,1087879345
Nidup Zangpo,1083086732
Yeshey Zimba,1082071369
Nataniel Aguirre,1113064273
Jacobo Aillón,1066796299
Isaac Ávalos,1105448251
Augusto Céspedes,1060109299
Soledad Chapetón,1100789033
Adolfo Chávez,1064862832
Chi Hyun Chung,1102263683
Daniel Sánchez Bustamante,1112693678
Rafael Peña,1106083763
Marcial Fabricano,1064844718
Francisco Argandoña,1113998869
Antonio Machaca,1104152307
Adolfo Mendoza,1093449967
Pedro Domingo Murillo,1102892437
Francisco Burdett O'Connor,1115835294
Manuel Luis de Oliden,1111940891
Isabel Ortega Ventura,1067118559
Simón Iturri Patiño,1113483466
